ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaA05g26920D		18		4		6		3		9		16
BnaA05g26930D		6		87		12		5		2		5
BnaA05g26940D		153		112		93		60		108		140
BnaA05g26950D		4		37		7		14		1		0
BnaA05g26960D		1377		2297		1164		1392		708		747
BnaA05g26970D		73		100		93		104		45		41
BnaA05g26980D		0		3		2		3		0		0
BnaA05g26990D		413		397		331		275		216		288
BnaA05g27000D		0		0		1		0		1		0
BnaA05g27010D		0		0		0		0		0		0
BnaA05g27020D		0		0		0		0		0		0
BnaA05g27030D		0		0		0		0		0		0
BnaA05g27040D		0		4		6		2		0		2
BnaA05g27050D		0		0		0		0		0		0
BnaA05g27060D		0		0		1		0		0		0
BnaA05g27070D		0		0		0		0		0		0
BnaA05g27080D		107		65		309		194		135		391
BnaA05g27090D		149		131		23		61		13		27
BnaA05g27100D		231		254		233		150		171		206
BnaA05g27110D		0		0		0		0		0		0
BnaA05g27120D		3		3		0		2		0		1
BnaA05g27130D		57		46		36		50		47		75
BnaA05g27140D		713		89		132		174		838		1062
BnaA05g27150D		8		13		11		10		13		12
BnaA05g27160D		9		3		1		3		4		9
BnaA05g27170D		0		2		0		0		0		0
BnaA05g27180D		6		8		4		2		3		0
BnaA05g27190D		237		234		234		141		127		170
BnaA05g27200D		245		1346		153		135		216		221
BnaA05g27210D		189		241		222		116		126		143
BnaA05g27220D		0		0		0		0		0		0
BnaA05g27230D		49		54		2		2		11		12
BnaA05g27240D		68		47		27		17		14		27
BnaA05g27250D		136		41		91		64		65		90
BnaA05g27260D		2		21		2		2		1		2
BnaA05g27270D		321		271		350		246		278		400
BnaA05g27280D		9		11		7		5		6		11
BnaA05g27290D		0		0		0		0		1		0
BnaA05g27300D		63		66		41		35		45		70
BnaA05g27310D		18		41		11		13		14		17
BnaA05g27320D		102		68		33		32		36		35
BnaA05g27330D		42		23		34		26		41		33
BnaA05g27340D		16		16		18		27		32		57
BnaA05g27350D		16		16		7		12		7		8
BnaA05g27360D		388		1		297		319		341		340
BnaA05g27370D		8		3		3		5		4		2
BnaA05g27380D		656		586		281		250		264		354
BnaA05g27390D		204		285		46		32		147		91
BnaA05g27400D		2		0		1		2		0		1
BnaA05g27410D		197		352		289		265		101		183
BnaA05g27420D		245		450		127		174		161		168
BnaA05g27430D		38		43		17		9		33		31
BnaA05g27440D		98		102		96		98		48		70
BnaA05g27450D		22		12		10		8		4		8
BnaA05g27460D		2		0		6		7		2		1
BnaA05g27470D		524		357		250		263		335		384
BnaA05g27480D		21		27		19		17		14		16
BnaA05g27490D		209		242		140		104		138		172
BnaA05g27500D		0		0		0		0		0		0
BnaA05g27510D		122		149		69		45		78		100
BnaA05g27520D		143		111		37		23		30		29
BnaA05g27530D		172		188		190		133		151		184
BnaA05g27540D		79		101		108		71		62		83
BnaA05g27550D		156		60		42		48		44		65
BnaA05g27560D		1		0		0		0		1		0
BnaA05g27570D		0		0		0		0		6		0
BnaA05g27580D		11		3		0		0		7		9
BnaA05g27590D		5		5		4		2		4		6
BnaA05g27600D		48		47		41		29		40		36
BnaA05g27610D		842		1098		799		553		743		842
BnaA05g27620D		160		204		188		103		137		183
BnaA05g27630D		3		2		1		0		0		0
BnaA05g27640D		44		62		20		18		41		64
BnaA05g27650D		264		185		136		117		169		196
BnaA05g27660D		374		645		342		184		297		344
BnaA05g27670D		111		62		239		143		154		202
BnaA05g27680D		48		74		30		24		28		30
BnaA05g27690D		26		27		15		20		11		22
BnaA05g27700D		40		25		7		6		25		10
BnaA05g27710D		283		166		137		109		139		142
BnaA05g27720D		15		15		7		5		13		23
BnaA05g27730D		1		0		4		4		2		2
BnaA05g27740D		8		9		3		2		1		0
BnaA05g27750D		0		0		3		0		2		1
BnaA05g27760D		28		57		37		20		23		35
BnaA05g27770D		222		210		253		196		172		165
BnaA05g27780D		13		14		10		3		5		8
BnaA05g27790D		185		123		102		107		122		162
BnaA05g27800D		464		371		305		265		336		294
BnaA05g27810D		14		3		6		5		23		25
BnaA05g27820D		2		3		1		1		0		1
BnaA05g27830D		11		0		9		18		21		31
BnaA05g27840D		249		209		293		291		212		246
BnaA05g27850D		583		635		283		235		334		370
BnaA05g27860D		3		4		3		7		5		10
BnaA05g27870D		14		10		32		18		17		18
BnaA05g27880D		99		83		100		62		69		113
BnaA05g27890D		8		4		3		1		4		3
BnaA05g27900D		6		3		9		4		8		2
BnaA05g27910D		14		2		8		11		15		9
BnaA05g27920D		92		71		37		26		40		59
BnaA05g27930D		5		39		7		4		7		7
BnaA05g27940D		52		73		28		38		49		65
BnaA05g27950D		302		202		53		93		259		348
BnaA05g27960D		1		0		0		0		4		1
BnaA05g27970D		150		266		197		143		133		170
BnaA05g27980D		345		377		268		189		165		169
