ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaA05g26930D		1		27		2		0		1		0
BnaA05g26940D		38		34		21		13		22		40
BnaA05g26950D		3		6		4		3		0		0
BnaA05g26960D		350		574		295		328		166		191
BnaA05g26970D		20		28		23		23		13		11
BnaA05g26980D		0		0		2		0		0		0
BnaA05g26990D		111		115		79		64		62		72
BnaA05g27000D		0		0		0		0		0		0
BnaA05g27010D		0		0		0		0		0		0
BnaA05g27020D		0		0		0		0		0		0
BnaA05g27030D		0		0		0		0		0		0
BnaA05g27040D		0		1		3		2		0		0
BnaA05g27050D		0		0		0		0		0		0
BnaA05g27060D		0		0		1		0		0		0
BnaA05g27070D		0		0		0		0		0		0
BnaA05g27080D		30		15		56		46		40		108
BnaA05g27090D		40		33		6		16		5		9
BnaA05g27100D		59		63		46		33		39		35
BnaA05g27110D		0		0		0		0		0		0
BnaA05g27120D		1		1		0		1		0		0
BnaA05g27130D		11		8		8		13		7		17
BnaA05g27140D		168		18		32		45		201		271
BnaA05g27150D		0		1		1		4		1		5
BnaA05g27160D		1		3		0		0		0		2
BnaA05g27170D		0		0		0		0		0		0
BnaA05g27180D		1		2		2		0		2		0
BnaA05g27190D		60		57		57		32		27		46
BnaA05g27200D		72		312		34		42		50		61
BnaA05g27210D		50		62		67		22		29		43
BnaA05g27220D		0		0		0		0		0		0
BnaA05g27230D		11		11		0		1		2		3
BnaA05g27240D		18		11		5		3		2		8
BnaA05g27250D		27		10		20		17		12		24
BnaA05g27260D		1		7		0		1		1		0
BnaA05g27270D		69		69		93		49		69		107
BnaA05g27280D		0		4		2		0		0		2
BnaA05g27290D		0		0		0		0		0		0
BnaA05g27300D		18		22		8		7		14		15
BnaA05g27310D		3		6		2		2		4		3
BnaA05g27320D		23		23		13		8		6		11
BnaA05g27330D		10		7		10		5		13		5
BnaA05g27340D		3		6		3		9		12		15
BnaA05g27350D		2		6		3		4		1		1
BnaA05g27360D		102		0		79		72		87		68
BnaA05g27370D		1		1		1		2		1		0
BnaA05g27380D		176		155		73		65		68		95
BnaA05g27390D		58		68		13		10		39		18
BnaA05g27400D		0		0		1		0		0		1
BnaA05g27410D		58		99		66		57		15		49
BnaA05g27420D		50		117		31		50		42		42
BnaA05g27430D		9		10		4		2		6		10
BnaA05g27440D		20		28		23		28		10		17
BnaA05g27450D		5		2		2		2		1		1
BnaA05g27460D		0		0		2		1		0		0
BnaA05g27470D		118		95		60		67		95		86
BnaA05g27480D		6		9		4		6		4		1
BnaA05g27490D		52		62		38		31		36		58
BnaA05g27500D		0		0		0		0		0		0
BnaA05g27510D		30		43		12		18		21		25
BnaA05g27520D		27		27		6		5		8		7
BnaA05g27530D		44		45		53		35		32		51
BnaA05g27540D		21		27		27		22		10		19
BnaA05g27550D		31		18		10		13		12		17
BnaA05g27560D		0		0		0		0		0		0
BnaA05g27570D		0		0		0		0		0		0
BnaA05g27580D		2		2		0		0		5		3
BnaA05g27590D		2		1		1		1		2		1
BnaA05g27600D		6		8		10		5		7		11
BnaA05g27610D		229		259		200		105		193		215
BnaA05g27620D		31		47		47		22		37		44
BnaA05g27630D		0		1		1		0		0		0
BnaA05g27640D		8		15		4		4		14		12
BnaA05g27650D		69		47		32		33		49		43
BnaA05g27660D		96		152		81		45		63		76
BnaA05g27670D		36		21		67		39		41		55
BnaA05g27680D		13		14		7		9		7		9
BnaA05g27690D		9		9		3		1		6		6
BnaA05g27700D		8		6		0		1		6		2
BnaA05g27710D		57		38		33		27		35		34
BnaA05g27720D		3		5		1		3		2		5
BnaA05g27730D		0		0		2		0		1		1
BnaA05g27740D		1		2		0		1		0		0
BnaA05g27750D		0		0		1		0		0		0
BnaA05g27760D		7		12		10		8		9		12
BnaA05g27770D		49		53		66		47		47		51
BnaA05g27780D		2		2		5		1		1		4
BnaA05g27790D		53		33		27		21		37		45
BnaA05g27800D		116		85		69		69		76		80
BnaA05g27810D		3		0		1		0		8		3
BnaA05g27820D		0		0		0		0		0		0
BnaA05g27830D		1		0		3		6		6		6
BnaA05g27840D		52		48		79		75		58		69
BnaA05g27850D		120		161		63		56		73		84
BnaA05g27860D		1		0		0		2		2		2
BnaA05g27870D		2		3		16		6		4		0
BnaA05g27880D		24		18		32		10		25		26
BnaA05g27890D		2		1		0		0		3		2
BnaA05g27900D		2		0		1		2		1		1
BnaA05g27910D		1		0		3		4		7		4
BnaA05g27920D		31		16		13		8		7		12
BnaA05g27930D		1		5		3		0		2		1
BnaA05g27940D		14		20		7		8		10		18
BnaA05g27950D		70		49		15		30		62		92
BnaA05g27960D		0		0		0		0		1		0
BnaA05g27970D		30		72		51		31		29		44
BnaA05g27980D		78		94		74		44		29		37
BnaA05g27990D		0		1		0		0		0		1
BnaA05g28000D		95		76		21		10		22		23
BnaA05g28010D		0		0		0		0		0		0
BnaA05g28020D		0		0		0		0		0		0
BnaA05g28030D		10		11		3		5		2		4
BnaA05g28040D		0		0		0		0		0		0
BnaA05g28050D		10		11		6		4		2		9
BnaA05g28060D		4		3		1		3		0		1
BnaA05g28070D		7		6		14		10		6		6
BnaA05g28080D		83		71		49		32		33		32
BnaA05g28090D		36		14		9		15		10		10
BnaA05g28100D		21		27		12		11		12		9
BnaA05g28110D		0		2		5		2		1		2
BnaA05g28120D		0		0		1		0		1		0
BnaA05g28130D		0		0		0		0		0		0
BnaA05g28140D		53		69		67		42		52		65
BnaA05g28150D		16		12		10		11		12		12
BnaA05g28160D		0		0		0		0		0		1
BnaA05g28170D		0		0		0		0		0		0
BnaA05g28180D		71		76		78		50		44		71
BnaA05g28190D		0		0		0		0		0		1
BnaA05g28200D		7		8		11		3		10		10
BnaA05g28210D		22		19		12		12		16		19
BnaA05g28220D		59		40		74		36		53		57
BnaA05g28230D		0		0		0		0		0		0
BnaA05g28240D		0		0		0		0		0		0
BnaA05g28250D		127		154		121		123		145		120
BnaA05g28260D		16		4		4		15		10		17
BnaA05g28270D		100		15		15		57		59		94
BnaA05g28280D		0		1		0		0		0		0
BnaA05g28290D		0		0		1		0		1		1
BnaA05g28300D		4		0		1		3		6		4
BnaA05g28310D		17		17		16		9		16		15
BnaA05g28320D		0		0		0		0		0		0
BnaA05g28330D		155		126		221		225		274		272
BnaA05g28340D		34		56		8		5		12		18
BnaA05g28350D		23		20		37		28		44		29
BnaA05g28360D		2		4		4		1		1		1
