ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaA05g26930D		2		50		5		2		2		3
BnaA05g26940D		77		59		49		27		49		69
BnaA05g26950D		4		18		4		8		0		0
BnaA05g26960D		668		1148		616		700		363		391
BnaA05g26970D		34		48		46		51		25		23
BnaA05g26980D		0		1		2		2		0		0
BnaA05g26990D		207		211		160		135		112		144
BnaA05g27000D		0		0		0		0		0		0
BnaA05g27010D		0		0		0		0		0		0
BnaA05g27020D		0		0		0		0		0		0
BnaA05g27030D		0		0		0		0		0		0
BnaA05g27040D		0		2		5		2		0		0
BnaA05g27050D		0		0		0		0		0		0
BnaA05g27060D		0		0		1		0		0		0
BnaA05g27070D		0		0		0		0		0		0
BnaA05g27080D		60		32		140		116		78		204
BnaA05g27090D		81		70		9		35		10		14
BnaA05g27100D		112		127		106		66		91		92
BnaA05g27110D		0		0		0		0		0		0
BnaA05g27120D		2		1		0		1		0		0
BnaA05g27130D		26		22		15		22		17		31
BnaA05g27140D		351		38		63		96		414		525
BnaA05g27150D		0		6		2		4		4		8
BnaA05g27160D		6		3		0		2		1		5
BnaA05g27170D		0		0		0		0		0		0
BnaA05g27180D		2		4		3		0		2		0
BnaA05g27190D		116		116		114		74		54		97
BnaA05g27200D		127		652		88		74		96		107
BnaA05g27210D		97		131		130		55		58		75
BnaA05g27220D		0		0		0		0		0		0
BnaA05g27230D		23		26		0		2		8		8
BnaA05g27240D		36		20		9		11		5		17
BnaA05g27250D		60		19		38		33		25		44
BnaA05g27260D		2		13		0		1		1		1
BnaA05g27270D		140		137		168		118		142		211
BnaA05g27280D		4		6		5		1		3		3
BnaA05g27290D		0		0		0		0		0		0
BnaA05g27300D		36		39		19		13		28		32
BnaA05g27310D		9		22		7		6		9		11
BnaA05g27320D		50		37		20		17		20		19
BnaA05g27330D		18		13		16		16		22		14
BnaA05g27340D		7		9		8		14		21		31
BnaA05g27350D		6		9		5		6		2		4
BnaA05g27360D		191		0		143		155		184		162
BnaA05g27370D		3		2		1		2		2		0
BnaA05g27380D		338		302		137		120		126		185
BnaA05g27390D		117		130		25		13		80		48
BnaA05g27400D		2		0		1		1		0		1
BnaA05g27410D		100		187		137		126		54		98
BnaA05g27420D		114		217		64		91		86		86
BnaA05g27430D		19		22		10		2		14		15
BnaA05g27440D		40		49		49		50		27		30
BnaA05g27450D		9		5		6		4		2		5
BnaA05g27460D		0		0		4		4		0		0
BnaA05g27470D		250		180		123		122		172		181
BnaA05g27480D		11		17		8		11		8		5
BnaA05g27490D		114		104		71		63		71		96
BnaA05g27500D		0		0		0		0		0		0
BnaA05g27510D		57		80		34		29		43		50
BnaA05g27520D		61		47		18		14		16		13
BnaA05g27530D		83		87		95		60		77		104
BnaA05g27540D		44		52		49		34		22		40
BnaA05g27550D		61		26		20		24		21		30
BnaA05g27560D		0		0		0		0		1		0
BnaA05g27570D		0		0		0		0		1		0
BnaA05g27580D		5		2		0		0		5		5
BnaA05g27590D		3		3		2		1		2		4
BnaA05g27600D		24		26		17		16		18		18
BnaA05g27610D		425		537		401		260		368		427
BnaA05g27620D		72		106		93		42		69		85
BnaA05g27630D		1		2		1		0		0		0
BnaA05g27640D		17		31		9		10		20		26
BnaA05g27650D		138		85		58		62		87		88
BnaA05g27660D		178		319		166		91		133		161
BnaA05g27670D		59		35		121		75		77		107
BnaA05g27680D		24		31		14		11		17		17
BnaA05g27690D		16		13		8		4		8		8
BnaA05g27700D		17		12		1		2		16		4
BnaA05g27710D		131		73		67		55		74		66
BnaA05g27720D		7		9		6		5		7		9
BnaA05g27730D		0		0		2		1		2		2
BnaA05g27740D		2		5		1		1		0		0
BnaA05g27750D		0		0		2		0		0		1
BnaA05g27760D		14		29		21		14		13		23
BnaA05g27770D		99		102		128		100		88		86
BnaA05g27780D		6		4		5		2		2		4
BnaA05g27790D		100		72		53		45		68		93
BnaA05g27800D		239		175		137		125		165		162
BnaA05g27810D		6		0		4		3		17		8
BnaA05g27820D		2		2		1		0		0		1
BnaA05g27830D		3		0		3		11		13		13
BnaA05g27840D		125		99		148		136		116		129
BnaA05g27850D		295		309		142		107		159		179
BnaA05g27860D		1		1		0		5		2		5
BnaA05g27870D		5		4		22		10		9		5
BnaA05g27880D		47		42		51		25		42		54
BnaA05g27890D		6		2		1		0		3		2
BnaA05g27900D		5		1		5		3		4		2
BnaA05g27910D		5		0		4		6		10		6
BnaA05g27920D		51		33		22		11		22		26
BnaA05g27930D		2		17		4		1		3		3
BnaA05g27940D		32		40		11		19		26		32
BnaA05g27950D		140		96		29		51		139		176
BnaA05g27960D		0		0		0		0		3		0
BnaA05g27970D		69		129		101		67		68		86
BnaA05g27980D		164		201		130		78		73		81
BnaA05g27990D		0		1		0		0		0		1
BnaA05g28000D		175		124		36		26		49		34
BnaA05g28010D		0		1		1		0		0		0
BnaA05g28020D		0		3		1		0		0		0
BnaA05g28030D		23		25		11		7		5		10
BnaA05g28040D		0		0		0		0		0		0
BnaA05g28050D		21		16		12		9		10		18
BnaA05g28060D		4		7		3		4		1		3
BnaA05g28070D		16		12		21		19		13		10
BnaA05g28080D		167		146		96		69		78		65
BnaA05g28090D		63		29		17		27		20		20
BnaA05g28100D		50		48		23		20		21		16
BnaA05g28110D		0		3		7		4		1		3
BnaA05g28120D		0		0		1		0		1		0
BnaA05g28130D		0		0		0		0		0		0
BnaA05g28140D		105		130		146		83		96		137
BnaA05g28150D		33		17		13		17		26		28
BnaA05g28160D		0		0		0		0		0		1
BnaA05g28170D		0		0		0		0		0		0
BnaA05g28180D		150		142		154		99		101		136
BnaA05g28190D		0		0		1		1		0		1
BnaA05g28200D		14		15		15		5		21		20
